% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
21913	1	1	1	0	28	2196	0	1	0
22013	1	1	1	0	28	2196	0	1	0
22113	1	1	1	0	28	2196	0	1	0
22213	1	1	1	0	28	2196	0	1	0
22313	1	1	1	0	28	2196	0	1	0
22413	1	1	1	0	28	2196	0	1	0
22513	1	1	1	0	28	2196	0	1	0
22613	1	1	1	0	28	2196	0	1	0
22713	1	1	1	0	28	2196	0	1	0
22813	1	1	1	0	28	2196	0	1	0
22913	1	1	1	0	28	2196	0	1	0
23013	1	1	1	0	28	2196	0	1	0
23113	1	1	1	0	28	2196	0	1	0
23213	1	1	1	0	28	2196	0	1	0
23313	1	1	1	0	28	2196	0	1	0
23413	1	1	1	0	28	2196	0	1	0
23513	1	1	1	0	28	2196	0	1	0
23613	1	1	1	0	28	2196	0	1	0
23713	1	1	1	0	28	2196	0	1	0
23813	1	1	1	0	28	2196	0	1	0
23913	1	1	1	0	28	2196	0	1	0
24013	1	1	1	0	28	2196	0	1	0
24113	1	1	1	0	28	2196	0	1	0
24213	1	1	1	0	28	2196	0	1	0
24313	1	1	1	0	28	2196	0	1	0
24413	1	1	1	0	28	2196	0	1	0
24513	1	1	1	0	28	2196	0	1	0
24613	1	1	1	0	28	2196	0	1	0
24713	1	1	1	0	28	2196	0	1	0
24813	1	1	1	0	28	2196	0	1	0
24913	1	1	1	0	28	2196	0	1	0
25013	1	1	1	0	28	2196	0	1	0
25113	1	1	1	0	28	2196	0	1	0
25213	1	1	1	0	28	2196	0	1	0
25313	1	1	1	0	28	2196	0	1	0
25413	1	1	1	0	28	2196	0	1	0
25513	1	1	1	0	28	2196	0	1	0
25613	1	1	1	0	28	2196	0	1	0
25713	1	1	1	0	28	2196	0	1	0
25813	1	1	1	0	28	2196	0	1	0
25913	1	1	1	0	28	2196	0	1	0
26013	1	1	1	0	28	2196	0	1	0
26113	1	1	1	0	28	2196	0	1	0
26213	1	1	1	0	28	2196	0	1	0
26313	1	1	1	0	28	2196	0	1	0
26413	1	1	1	0	28	2196	0	1	0
26513	1	1	1	0	28	2196	0	1	0
26613	1	1	1	0	28	2196	0	1	0
26713	1	1	1	0	28	2196	0	1	0
26813	1	1	1	0	28	2196	0	1	0
26913	1	1	1	0	28	2196	0	1	0
27013	1	1	1	0	28	2196	0	1	0
27113	1	1	1	0	28	2196	0	1	0
27213	1	1	1	0	28	2196	0	1	0
27313	1	1	1	0	28	2196	0	1	0
27413	1	1	1	0	28	2196	0	1	0
27513	1	1	1	0	28	2196	0	1	0
27613	1	1	1	0	28	2196	0	1	0
27713	1	1	1	0	28	2196	0	1	0
27813	1	1	1	0	28	2196	0	1	0
27913	1	1	1	0	28	2196	0	1	0
28013	1	1	1	0	28	2196	0	1	0
28113	1	1	1	0	28	2196	0	1	0
28213	1	1	1	0	28	2196	0	1	0
28313	1	1	1	0	28	2196	0	1	0
28413	1	1	1	0	28	2196	0	1	0
28513	1	1	1	0	28	2196	0	1	0
28613	1	1	1	0	28	2196	0	1	0
28713	1	1	1	0	28	2196	0	1	0
28813	1	1	1	0	28	2196	0	1	0
28913	1	1	1	0	28	2196	0	1	0
29013	1	1	1	0	28	2196	0	1	0
29113	1	1	1	0	28	2196	0	1	0
29213	1	1	1	0	28	2196	0	1	0
29313	1	1	1	0	28	2196	0	1	0
29413	1	1	1	0	28	2196	0	1	0
29513	1	1	1	0	28	2196	0	1	0
29613	1	1	1	0	28	2196	0	1	0
29713	1	1	1	0	28	2196	0	1	0
29813	1	1	1	0	28	2196	0	1	0
29913	1	1	1	0	28	2196	0	1	0
30013	1	1	1	0	28	2196	0	1	0
30113	1	1	1	0	28	2196	0	1	0
30213	1	1	1	0	28	2196	0	1	0
30313	1	1	1	0	28	2196	0	1	0
30413	1	1	1	0	28	2196	0	1	0
30513	1	1	1	0	28	2196	0	1	0
30613	1	1	1	0	28	2196	0	1	0
30713	1	1	1	0	28	2196	0	1	0
30813	1	1	1	0	28	2196	0	1	0
30913	1	1	1	0	28	2196	0	1	0
31013	1	1	1	0	28	2196	0	1	0
31113	1	1	1	0	28	2196	0	1	0
31213	1	1	1	0	28	2196	0	1	0
31313	1	1	1	0	28	2196	0	1	0
31413	1	1	1	0	28	2196	0	1	0
31513	1	1	1	0	28	2196	0	1	0
31613	1	1	1	0	28	2196	0	1	0
31713	1	1	1	0	28	2196	0	1	0
31813	1	1	1	0	28	2196	0	1	0
31913	1	1	1	0	28	2196	0	1	0
32013	1	1	1	0	28	2196	0	1	0
32113	1	1	1	0	28	2196	0	1	0
32213	1	1	1	0	28	2196	0	1	0
32313	1	1	1	0	28	2196	0	1	0
32413	1	1	1	0	28	2196	0	1	0
32513	1	1	1	0	28	2196	0	1	0
32613	1	1	1	0	28	2196	0	1	0
32713	1	1	1	0	28	2196	0	1	0
32813	1	1	1	0	28	2196	0	1	0
32913	1	1	1	0	28	2196	0	1	0
33013	1	1	1	0	28	2196	0	1	0
33113	1	1	1	0	28	2196	0	1	0
33213	1	1	1	0	28	2196	0	1	0
33313	1	1	1	0	28	2196	0	1	0
33413	1	1	1	0	28	2196	0	1	0
33513	1	1	1	0	28	2196	0	1	0
33613	1	1	1	0	28	2196	0	1	0
33713	1	1	1	0	28	2196	0	1	0
33813	1	1	1	0	28	2196	0	1	0
33913	1	1	1	0	28	2196	0	1	0
34013	1	1	1	0	28	2196	0	1	0
34113	1	1	1	0	28	2196	0	1	0
34213	1	1	1	0	28	2196	0	1	0
34313	1	1	1	0	28	2196	0	1	0
34413	1	1	1	0	28	2196	0	1	0
34513	1	1	1	0	28	2196	0	1	0
34613	1	1	1	0	28	2196	0	1	0
34713	1	1	1	0	28	2196	0	1	0
34813	1	1	1	0	28	2196	0	1	0
34913	1	1	1	0	28	2196	0	1	0
35013	1	1	1	0	28	2196	0	1	0
35113	1	1	1	0	28	2196	0	1	0
35213	1	1	1	0	28	2196	0	1	0
35313	1	1	1	0	28	2196	0	1	0
35413	1	1	1	0	28	2196	0	1	0
35513	1	1	1	0	28	2196	0	1	0
35613	1	1	1	0	28	2196	0	1	0
35713	1	1	1	0	28	2196	0	1	0
35813	1	1	1	0	28	2196	0	1	0
35913	1	1	1	0	28	2196	0	1	0
36013	1	1	1	0	28	2196	0	1	0
36113	1	1	1	0	28	2196	0	1	0
36213	1	1	1	0	28	2196	0	1	0
36313	1	1	1	0	28	2196	0	1	0
36413	1	1	1	0	28	2196	0	1	0
36513	1	1	1	0	28	2196	0	1	0
36613	1	1	1	0	28	2196	0	1	0
36713	1	1	1	0	28	2196	0	1	0
36813	1	1	1	0	28	2196	0	1	0
36913	1	1	1	0	28	2196	0	1	0
37013	1	1	1	0	28	2196	0	1	0
37113	1	1	1	0	28	2196	0	1	0
37213	1	1	1	0	28	2196	0	1	0
37313	1	1	1	0	28	2196	0	1	0
37413	1	1	1	0	28	2196	0	1	0
37513	1	1	1	0	28	2196	0	1	0
37613	1	1	1	0	28	2196	0	1	0
37713	1	1	1	0	28	2196	0	1	0
37813	1	1	1	0	28	2196	0	1	0
