% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
45.721	1	1	1	5324.57	0
45.761	1	1	1	5324.57	0
45.801	1	1	1	5324.57	0
45.841	1	1	1	5324.57	0
45.881	1	1	1	5324.57	0
45.921	1	1	1	5324.57	0
45.961	1	1	1	5324.57	0
46.001	1	1	1	5324.57	0
46.041	1	1	1	5324.57	0
46.081	1	1	1	5324.57	0
46.121	1	1	1	5324.57	0
46.161	1	1	1	5324.57	0
46.201	1	1	1	5324.57	0
46.241	1	1	1	5324.57	0
46.281	1	1	1	5324.57	0
46.321	1	1	1	5324.57	0
46.361	1	1	1	5324.57	0
46.401	1	1	1	5324.57	0
46.441	1	1	1	5324.57	0
46.481	1	1	1	5324.57	0
46.521	1	1	1	5324.57	0
46.561	1	1	1	5324.57	0
46.601	1	1	1	5324.57	0
46.641	1	1	1	5324.57	0
46.681	1	1	1	5324.57	0
46.721	1	1	1	5324.57	0
46.761	1	1	1	5324.57	0
46.801	1	1	1	5324.57	0
46.841	1	1	1	5324.57	0
46.881	1	1	1	5324.57	0
46.921	1	1	1	5324.57	0
46.961	1	1	1	5324.57	0
47.001	1	1	1	5324.57	0
47.041	1	1	1	5324.57	0
47.081	1	1	1	5324.57	0
47.121	1	1	1	5324.57	0
47.161	1	1	1	5324.57	0
47.201	1	1	1	5324.57	0
47.241	1	1	1	5324.57	0
47.281	1	1	1	5324.57	0
47.321	1	1	1	5324.57	0
47.361	1	1	1	5324.57	0
47.401	1	1	1	5324.57	0
47.441	1	1	1	5324.57	0
47.481	1	1	1	5324.57	0
47.521	1	1	1	5324.57	0
47.561	1	1	1	5324.57	0
47.601	1	1	1	5324.57	0
47.641	1	1	1	5324.57	0
47.681	1	1	1	5324.57	0
47.721	1	1	1	5324.57	0
47.761	1	1	1	5324.57	0
47.801	1	1	1	5324.57	0
47.841	1	1	1	5324.57	0
47.881	1	1	1	5324.57	0
47.921	1	1	1	5324.57	0
47.961	1	1	1	5324.57	0
48.001	1	1	1	5324.57	0
48.041	1	1	1	5324.57	0
48.081	1	1	1	5324.57	0
48.121	1	1	1	5324.57	0
48.161	1	1	1	5324.57	0
48.201	1	1	1	5324.57	0
48.241	1	1	1	5324.57	0
48.281	1	1	1	5324.57	0
48.321	1	1	1	5324.57	0
48.361	1	1	1	5324.57	0
48.401	1	1	1	5324.57	0
48.441	1	1	1	5324.57	0
48.481	1	1	1	5324.57	0
48.521	1	1	1	5324.57	0
48.561	1	1	1	5324.57	0
48.601	1	1	1	5324.57	0
48.641	1	1	1	5324.57	0
48.681	1	1	1	5324.57	0
48.721	1	1	1	5324.57	0
48.761	1	1	1	5324.57	0
48.801	1	1	1	5324.57	0
48.841	1	1	1	5324.57	0
48.881	1	1	1	5324.57	0
48.921	1	1	1	5324.57	0
48.961	1	1	1	5324.57	0
49.001	1	1	1	5324.57	0
49.041	1	1	1	5324.57	0
49.081	1	1	1	5324.57	0
49.121	1	1	1	5324.57	0
49.161	1	1	1	5324.57	0
49.201	1	1	1	5324.57	0
49.241	1	1	1	5324.57	0
49.281	1	1	1	5324.57	0
49.321	1	1	1	5324.57	0
49.361	1	1	1	5324.57	0
49.401	1	1	1	5324.57	0
49.441	1	1	1	5324.57	0
49.481	1	1	1	5324.57	0
49.521	1	1	1	5324.57	0
49.561	1	1	1	5324.57	0
49.601	1	1	1	5324.57	0
49.641	1	1	1	5324.57	0
49.681	1	1	1	5324.57	0
49.721	1	1	1	5324.57	0
49.761	1	1	1	5324.57	0
49.801	1	1	1	5324.57	0
49.841	1	1	1	5324.57	0
49.881	1	1	1	5324.57	0
49.921	1	1	1	5324.57	0
49.961	1	1	1	5324.57	0
50.001	1	1	1	5324.57	0
50.041	1	1	1	5324.57	0
50.081	1	1	1	5324.57	0
50.121	1	1	1	5324.57	0
50.161	1	1	1	5324.57	0
50.201	1	1	1	5324.57	0
50.241	1	1	1	5324.57	0
50.281	1	1	1	5324.57	0
50.321	1	1	1	5324.57	0
50.361	1	1	1	5324.57	0
50.401	1	1	1	5324.57	0
50.441	1	1	1	5324.57	0
50.481	1	1	1	5324.57	0
50.521	1	1	1	5324.57	0
